AWS Password Policy Compliance Summary
Account ID,461115678308
Assessment Date,2026-04-08 16:12:49 UTC
Compliance Score,100.0%
Overall Status,COMPLIANT

Control Name,Status,Current Value,Required Value,Priority
minimum_password_length,COMPLIANT,14,12,N/A
require_symbols,COMPLIANT,True,True,N/A
require_numbers,COMPLIANT,True,True,N/A
require_uppercase,COMPLIANT,True,True,N/A
require_lowercase,COMPLIANT,True,True,N/A
max_password_age,COMPLIANT,90,90,N/A
password_reuse_prevention,COMPLIANT,24,12,N/A
allow_users_to_change_password,COMPLIANT,True,True,N/A
hard_expiry,COMPLIANT,False,False,N/A

Remediation Recommendations
Priority,Control,Issue,Recommendation
